battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-1097024_Li,Li0-1CoS2,Li,"['Co', 'S']",2,CoS2,LiCoS2,0.132286694546869,2.05277142583333,206.158587000703,779.358978150264,423.196456585218,1599.84584081352,0.098499989166667,0.0525198625,mp-dbdgn,mp-coyuq,0.2645232720485253,10.0,2.6452327204852533
insertion,mp-1100424_Li,Li1-2MgSb,Li,"['Mg', 'Sb']",2,LiMgSb,Li2MgSb,0.129320295770393,-0.402909906666667,167.564762986263,531.197068109978,-67.5135030154176,-214.024561133798,0.0,0.208893178043478,mp-cqrqg,mp-crork,0.31544745452467504,10.0,3.1544745452467504
insertion,mp-1100430_Li,Li1-2ZnSb,Li,"['Zn', 'Sb']",2,LiZnSb,Li2ZnSb,0.161603078950519,-0.040223916666667,133.306878082495,582.537040350742,-5.36212475508396,-23.4319213663155,0.006121566666666,0.193468926249999,mp-ckpwg,mp-cropi,0.22883845806994818,10.0,2.288384580699482
insertion,mp-1101295_Li,Li0-0.5Ti2O3,Li,"['Ti', 'O']",2,Ti2O3,LiTi4O6,0.021761471793217,1.20776282333333,91.0359699426841,390.825648171835,109.949860082864,472.024688267095,0.096422178999999,0.097941862272724,mp-ckrdn,mp-csiqh,0.23293243513705672,10.0,2.329324351370567
insertion,mp-1106357_Li,Li0-1Tb5Sn3,Li,"['Tb', 'Sn']",2,Tb5Sn3,LiTb5Sn3,0.056501643248038,-0.556807981666667,23.1506722245628,181.085703709864,-12.8904790755854,-100.829965191377,0.0,0.061867553518518,mp-ckyqf,mp-cpekb,0.12784373227858378,10.0,1.2784373227858379
insertion,mp-1111688_Li,Li0-3CrF6,Li,"['Cr', 'F']",2,CrF6,Li3CrF6,0.001451530395295,5.02109430666666,430.408706046772,1158.95960796207,2161.12270347121,5819.24548919501,0.0,0.201815951,mp-dbeyq,mp-clgng,0.37137507044236717,10.0,3.7137507044236715
insertion,mp-1120722_Li,Li0-0.33CuO,Li,"['Cu', 'O']",2,CuO,Li(CuO)3,0.092670820263636,4.06645730333332,109.136683476169,665.314278692568,443.799663583245,2705.47210760134,0.335388066666666,0.051302997500002,mp-cltws,mp-cnhuk,0.1640377893146037,10.0,1.6403778931460369
insertion,mp-1170_Li,Li0-1SnS2,Li,"['Sn', 'S']",2,SnS2,LiSnS2,0.031250205215589,1.56030505333333,141.223205407094,554.789444105921,220.351281044621,865.640773174459,0.0,0.09976272390625,mp-bta,mp-boyt,0.2545527981965921,10.0,2.545527981965921
insertion,mp-1176726_Li,Li1-2Fe3O4,Li,"['Fe', 'O']",2,LiFe3O4,Li2Fe3O4,0.114330302565124,-0.356387576666658,109.208992233403,503.656438909469,-38.9207280922706,-179.496897735504,0.0393243021875,0.280516826111112,mp-coyss,mp-crpcv,0.2168323162310113,10.0,2.168323162310113
insertion,mp-11830_Li,Li1-2CeSn,Li,"['Ce', 'Sn']",2,LiCeSn,Li2CeSn,0.065316098852112,0.417976833333333,98.2790425853436,545.83516551209,41.0783630028537,228.146454002719,0.168594930416666,0.047086038596591,mp-rna,mp-cplal,0.18005260341396373,10.0,1.8005260341396374
insertion,mp-1185311_Li,Li0-1CrO3,Li,"['Cr', 'O']",2,CrO3,LiCrO3,0.010061862850069,3.71314415333333,250.632682990218,893.770397747905,930.635281479376,3318.69832682004,0.40224307075,0.409366555166663,mp-ddjem,mp-cplkx,0.28042177680280583,10.0,2.8042177680280584
insertion,mp-1205429_Li,Li0-0.12FeO2,Li,"['Fe', 'O']",2,FeO2,Li(FeO2)8,0.047893792648366,3.10807918333333,37.7649794620082,138.992148743896,117.376546524878,431.998604157675,0.186183398333333,0.201083565519995,mp-cqper,mp-cshik,0.2717058467208328,10.0,2.717058467208328
insertion,mp-1222464_Li,Li6-7Mn2N3,Li,"['Mn', 'N']",2,Li6Mn2N3,Li7Mn2N3,0.040776684470554,0.132985433333329,133.684430826165,318.596994727921,17.778081963337,42.3687594025889,0.1613809711442,0.13685043743774,mp-crojw,mp-crokh,0.41960355257063964,10.0,4.196035525706396
insertion,mp-1235320_Li,Li0-0.12VO2,Li,"['V', 'O']",2,VO2,LiV8O16,0.022063351947752,2.78330674333333,39.9745625866585,137.277500629409,111.261469609247,382.085393209781,0.137107377916667,0.130873531933328,mp-dehdd,mp-cshki,0.2911952971417571,10.0,2.911952971417571
insertion,mp-1235941_Li,Li0-1TiO2,Li,"['Ti', 'O']",2,TiO2,LiTiO2,0.407571985790945,1.52472456333333,308.748636574138,1155.31548042698,470.756630080265,1761.53789140627,0.15180207,0.085798818749999,mp-ddere,mp-csiif,0.2672418415617794,10.0,2.672418415617794
insertion,mp-12564_Li,Li1-2SbAu,Li,"['Sb', 'Au']",2,LiSbAu,Li2SbAu,0.081942487539969,1.18589104333333,80.5796471989388,614.614250138828,95.5586818881815,728.86553434467,0.104817015277776,0.0,mp-spg,mp-bszk,0.13110605095917904,10.0,1.3110605095917904
insertion,mp-16271_Li,Li1-2CdSb,Li,"['Cd', 'Sb']",2,LiCdSb,Li2CdSb,0.170332422388017,0.947536923333334,108.047397714858,561.688777833892,102.37889880491,532.220856419587,0.110364109999999,0.038511977499999,mp-ckpwb,mp-ybv,0.19236168137724627,10.0,1.9236168137724627
insertion,mp-17754_Li,Li2-4MnF6,Li,"['Mn', 'F']",2,Li2MnF6,Li4MnF6,0.12719419899131,4.014909765,272.52168764444,798.042161372783,1094.14998489794,3204.06726657729,0.0,0.035589586666665,mp-bqvvc,mp-bvhnq,0.34148783214116324,10.0,3.4148783214116323
insertion,mp-18162_Li,Li0-0.5CuO,Li,"['Cu', 'O']",2,CuO,Li(CuO)2,0.083797657418261,3.00094463333333,161.423782343887,855.602163167343,484.423833317257,2567.61471982543,0.15278473625,0.004688839500002,mp-bdboi,mp-bawo,0.188666870296721,10.0,1.88666870296721
insertion,mp-1840_Li,Li0-0.75TiO2,Li,"['Ti', 'O']",2,TiO2,Li3Ti4O8,0.061690256416365,1.26608576499999,236.284760992634,949.690390186749,299.156772379201,1202.38948417273,0.020207282499999,0.065526784666666,mp-csu,mp-croox,0.24880188684037383,10.0,2.488018868403738
